time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,wind_speed_10m_max,city_name
2025-01-01,54.2,42.4,51.3,39.3,2025-01-01 08:25:00,2025-01-01 18:01:00,0.0,5.9,San Francisco
2025-01-02,58.3,46.2,55.7,41.8,2025-01-02 08:25:00,2025-01-02 18:02:00,0.0,7.2,San Francisco
2025-01-03,55.2,47.1,52.6,45.7,2025-01-03 08:25:00,2025-01-03 18:03:00,0.394,14.3,San Francisco
2025-01-04,54.2,45.9,52.9,42.9,2025-01-04 08:25:00,2025-01-04 18:04:00,0.008,4.8,San Francisco
2025-01-05,56.8,45.3,55.6,42.8,2025-01-05 08:25:00,2025-01-05 18:05:00,0.0,4.5,San Francisco
2025-01-06,56.8,49.1,57.5,48.2,2025-01-06 08:25:00,2025-01-06 18:06:00,0.0,4.3,San Francisco
2025-01-07,63.4,51.8,55.6,44.0,2025-01-07 08:25:00,2025-01-07 18:06:00,0.0,18.1,San Francisco
2025-01-08,62.0,49.2,58.6,43.9,2025-01-08 08:25:00,2025-01-08 18:07:00,0.0,14.3,San Francisco
2025-01-09,61.8,46.5,57.6,42.0,2025-01-09 08:25:00,2025-01-09 18:08:00,0.0,4.8,San Francisco
2025-01-10,61.8,46.6,58.1,42.5,2025-01-10 08:24:00,2025-01-10 18:09:00,0.0,10.0,San Francisco
2025-01-11,65.2,47.2,54.9,41.7,2025-01-11 08:24:00,2025-01-11 18:10:00,0.0,17.5,San Francisco
2025-01-12,63.9,50.5,55.5,42.7,2025-01-12 08:24:00,2025-01-12 18:11:00,0.0,12.8,San Francisco
2025-01-13,59.8,47.2,52.8,37.1,2025-01-13 08:24:00,2025-01-13 18:12:00,0.0,14.8,San Francisco
2025-01-14,60.5,41.3,55.0,36.9,2025-01-14 08:23:00,2025-01-14 18:13:00,0.0,5.4,San Francisco
2025-01-15,61.4,41.7,56.9,36.6,2025-01-15 08:23:00,2025-01-15 18:14:00,0.0,5.0,San Francisco
2025-01-16,62.2,40.9,57.4,36.6,2025-01-16 08:23:00,2025-01-16 18:15:00,0.0,5.4,San Francisco
2025-01-17,55.7,45.0,51.1,42.3,2025-01-17 08:22:00,2025-01-17 18:16:00,0.0,7.9,San Francisco
2025-01-18,55.6,43.9,51.7,40.5,2025-01-18 08:22:00,2025-01-18 18:18:00,0.0,5.8,San Francisco
2025-01-19,52.5,44.1,48.9,41.7,2025-01-19 08:21:00,2025-01-19 18:19:00,0.0,6.7,San Francisco
2025-01-20,62.6,42.2,53.6,37.4,2025-01-20 08:21:00,2025-01-20 18:20:00,0.0,13.0,San Francisco
2025-01-21,59.1,41.8,53.0,35.5,2025-01-21 08:20:00,2025-01-21 18:21:00,0.0,6.6,San Francisco
2025-01-22,64.2,40.5,58.1,36.8,2025-01-22 08:20:00,2025-01-22 18:22:00,0.0,5.8,San Francisco
2025-01-23,65.8,47.1,60.0,41.5,2025-01-23 08:19:00,2025-01-23 18:23:00,0.0,9.6,San Francisco
2025-01-24,60.0,41.5,54.8,37.9,2025-01-24 08:19:00,2025-01-24 18:24:00,0.0,6.2,San Francisco
2025-01-25,55.9,47.1,49.5,41.8,2025-01-25 08:18:00,2025-01-25 18:25:00,0.0,7.6,San Francisco
2025-01-26,56.7,44.2,48.3,34.6,2025-01-26 08:17:00,2025-01-26 18:26:00,0.0,14.9,San Francisco
2025-01-27,57.6,38.9,51.9,35.5,2025-01-27 08:17:00,2025-01-27 18:27:00,0.0,7.1,San Francisco
2025-01-28,54.2,42.4,49.8,39.1,2025-01-28 08:16:00,2025-01-28 18:28:00,0.0,8.0,San Francisco
2025-01-29,54.6,46.7,51.0,44.2,2025-01-29 08:15:00,2025-01-29 18:30:00,0.0,7.0,San Francisco
2025-01-30,54.5,43.6,50.6,40.6,2025-01-30 08:14:00,2025-01-30 18:31:00,0.0,6.1,San Francisco
2025-01-31,53.3,47.6,50.0,42.5,2025-01-31 08:13:00,2025-01-31 18:32:00,0.551,12.0,San Francisco
2025-02-01,57.7,53.6,54.4,50.6,2025-02-01 08:13:00,2025-02-01 18:33:00,0.563,15.8,San Francisco
2025-02-02,58.0,56.4,53.5,51.5,2025-02-02 08:12:00,2025-02-02 18:34:00,0.299,17.3,San Francisco
2025-02-03,58.5,54.2,53.2,48.8,2025-02-03 08:11:00,2025-02-03 18:35:00,0.232,16.6,San Francisco
2025-02-04,58.9,46.4,51.8,39.0,2025-02-04 08:10:00,2025-02-04 18:36:00,1.232,25.1,San Francisco
2025-02-05,53.7,43.9,51.4,39.5,2025-02-05 08:09:00,2025-02-05 18:37:00,0.0,9.0,San Francisco
2025-02-06,57.4,43.5,51.8,38.1,2025-02-06 08:08:00,2025-02-06 18:38:00,1.043,22.4,San Francisco
2025-02-07,54.5,46.9,52.1,44.1,2025-02-07 08:07:00,2025-02-07 18:40:00,0.138,12.7,San Francisco
2025-02-08,55.8,41.5,51.0,37.1,2025-02-08 08:06:00,2025-02-08 18:41:00,0.0,7.1,San Francisco
2025-02-09,54.4,40.6,49.0,36.6,2025-02-09 08:05:00,2025-02-09 18:42:00,0.0,8.5,San Francisco
2025-02-10,53.3,40.9,49.1,36.6,2025-02-10 08:04:00,2025-02-10 18:43:00,0.0,6.0,San Francisco
2025-02-11,51.4,42.1,46.5,38.0,2025-02-11 08:03:00,2025-02-11 18:44:00,0.028,10.6,San Francisco
2025-02-12,52.3,43.2,48.2,36.5,2025-02-12 08:01:00,2025-02-12 18:45:00,0.382,12.1,San Francisco
2025-02-13,56.9,49.7,49.3,43.5,2025-02-13 08:00:00,2025-02-13 18:46:00,1.37,24.5,San Francisco
2025-02-14,55.1,46.9,47.2,43.7,2025-02-14 07:59:00,2025-02-14 18:47:00,0.091,19.4,San Francisco
2025-02-15,55.8,42.0,53.9,38.9,2025-02-15 07:58:00,2025-02-15 18:48:00,0.0,5.3,San Francisco
2025-02-16,56.8,45.9,55.0,42.9,2025-02-16 07:57:00,2025-02-16 18:49:00,0.067,5.6,San Francisco
2025-02-17,57.1,46.0,53.1,44.4,2025-02-17 07:56:00,2025-02-17 18:50:00,0.008,10.4,San Francisco
2025-02-18,57.1,44.2,55.8,41.6,2025-02-18 07:54:00,2025-02-18 18:52:00,0.0,7.5,San Francisco
2025-02-19,59.1,48.8,56.1,46.8,2025-02-19 07:53:00,2025-02-19 18:53:00,0.055,11.3,San Francisco
2025-02-20,63.1,44.6,60.9,42.1,2025-02-20 07:52:00,2025-02-20 18:54:00,0.0,7.2,San Francisco
2025-02-21,63.1,44.2,60.1,41.0,2025-02-21 07:51:00,2025-02-21 18:55:00,0.0,7.5,San Francisco
2025-02-22,60.1,44.8,59.8,43.0,2025-02-22 07:49:00,2025-02-22 18:56:00,0.004,9.4,San Francisco
2025-02-23,59.8,47.6,59.5,46.2,2025-02-23 07:48:00,2025-02-23 18:57:00,0.0,5.1,San Francisco
2025-02-24,61.5,50.8,59.1,48.5,2025-02-24 07:47:00,2025-02-24 18:58:00,0.024,10.0,San Francisco
2025-02-25,60.4,48.2,59.0,45.0,2025-02-25 07:45:00,2025-02-25 18:59:00,0.0,6.6,San Francisco
2025-02-26,68.2,44.5,67.6,42.1,2025-02-26 07:44:00,2025-02-26 19:00:00,0.0,7.8,San Francisco
2025-02-27,71.0,50.7,69.7,46.9,2025-02-27 07:42:00,2025-02-27 19:01:00,0.0,10.6,San Francisco
2025-02-28,68.4,49.5,68.3,48.2,2025-02-28 07:41:00,2025-02-28 19:02:00,0.0,10.2,San Francisco
2025-03-01,55.6,51.4,52.0,45.9,2025-03-01 07:40:00,2025-03-01 19:03:00,0.024,17.7,San Francisco
2025-03-02,55.5,49.3,47.1,42.1,2025-03-02 07:38:00,2025-03-02 19:04:00,0.039,19.3,San Francisco
2025-03-03,57.6,45.3,52.3,42.0,2025-03-03 07:37:00,2025-03-03 19:05:00,0.0,16.8,San Francisco
2025-03-04,59.4,51.2,56.1,46.5,2025-03-04 07:35:00,2025-03-04 19:06:00,0.0,7.9,San Francisco
2025-03-05,55.0,48.7,52.5,43.1,2025-03-05 07:34:00,2025-03-05 19:07:00,0.142,16.3,San Francisco
2025-03-06,55.9,47.1,52.6,40.6,2025-03-06 07:33:00,2025-03-06 19:08:00,0.031,11.0,San Francisco
2025-03-07,60.3,44.2,58.3,41.0,2025-03-07 07:31:00,2025-03-07 19:09:00,0.0,9.9,San Francisco
2025-03-08,60.0,45.8,59.8,42.7,2025-03-08 07:30:00,2025-03-08 19:10:00,0.0,7.5,San Francisco
2025-03-09,58.2,44.0,55.1,41.1,2025-03-09 07:28:00,2025-03-09 19:11:00,0.0,9.8,San Francisco
2025-03-10,67.6,45.6,66.0,43.3,2025-03-10 07:27:00,2025-03-10 19:12:00,0.0,12.4,San Francisco
2025-03-11,60.8,46.8,56.7,44.5,2025-03-11 07:25:00,2025-03-11 19:13:00,0.0,10.3,San Francisco
2025-03-12,56.8,47.5,49.5,41.0,2025-03-12 07:24:00,2025-03-12 19:14:00,0.524,27.0,San Francisco
2025-03-13,51.4,44.8,43.5,38.9,2025-03-13 07:22:00,2025-03-13 19:15:00,0.488,16.0,San Francisco
2025-03-14,54.2,42.6,48.9,33.6,2025-03-14 07:21:00,2025-03-14 19:16:00,0.748,18.6,San Francisco
